h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec911a1fffff,6,0.5,3381.5,-0.009473122788886568,-0.050059491145494905,-0.09349837807296424,0,0,1
881ec911a3fffff,5,0.4,2908.2,0.007259198133037506,-0.06252209399971892,-0.09860476089902248,0,0,1
881ec911b1fffff,17,0.17647058823529413,1365.1764705882354,0.04247106474727677,-0.07357626303264772,-0.11945544048576473,0,0,1
881ec911b3fffff,6,0.3333333333333333,1876.6666666666667,0.01701630942606821,-0.08510705034971958,-0.11926139265933067,0,0,1
881ec911b7fffff,23,0.08695652173913043,1774.0,0.033450775080027556,-0.0777364389698697,-0.11220008962829059,0,0,1
881ec911b9fffff,9,0.4444444444444444,1493.5555555555557,0.030295236683287707,-0.0794132846827526,-0.126535771312538,0,0,1
881ec911bbfffff,42,0.3333333333333333,1711.642857142857,-0.0008250388538642017,-0.09362542653971191,-0.1280062513193892,0,0,1
881ec911d3fffff,61,0.11475409836065574,2481.311475409836,-0.14963901509917132,-0.18596745570012818,-0.1703180569856939,1,1,1
881ec911d9fffff,6,1.0,2241.6666666666665,-0.1340130062767937,-0.16431805212163264,-0.1593004155554047,0,1,1
881ec911e5fffff,5,0.4,2823.0,-0.02847186884337405,-0.059357325199198896,-0.10200147001500814,0,0,1
881ec91293fffff,5,0.6,5028.8,-0.33011496019414743,-0.1900532928209791,-0.20069037539988416,1,1,1
881ec91295fffff,19,0.8421052631578947,2480.684210526316,-0.23892959765553903,-0.17605850241644388,-0.19672306863345704,1,1,1
881ec91299fffff,6,1.0,1275.0,-0.27104452234072984,-0.17574185834984501,-0.1916307681734177,1,1,1
881ec9129bfffff,49,0.3673469387755102,10116.938775510203,-0.2733692066527067,-0.1839814310679403,-0.19790404362288438,1,1,1
881ec912b3fffff,6,0.6666666666666666,2116.5,-0.09054474806398205,-0.1813026999150541,-0.20107388712806695,0,1,1
881ec912b5fffff,16,0.625,6365.1875,-0.18430889435369524,-0.1691708004264304,-0.1945884495570613,1,1,1
881ec912b7fffff,14,0.35714285714285715,2622.3571428571427,-0.10318138049858816,-0.166246813026527,-0.19879081413906097,0,1,1
881ec912b9fffff,11,0.36363636363636365,5108.181818181818,-0.18138044351001914,-0.17266096027981026,-0.19566090298726257,1,1,1
881ec91513fffff,16,0.3125,2860.0625,-0.1776724645792151,-0.20345397566830448,-0.19422838733548717,1,1,1
881ec91515fffff,6,1.0,943.8333333333334,-0.104400105806219,-0.14431592858867046,-0.17488989128135876,0,1,1
881ec91521fffff,6,1.0,1975.6666666666667,-0.19324690745107126,-0.147884950093118,-0.15733903969312527,1,1,1
881ec91527fffff,8,0.375,2938.875,-0.002894224599848461,-0.09964128817639689,-0.13355318122430623,0,1,1
881ec91529fffff,16,0.5625,3618.5625,-0.29733537415092326,-0.21170037676940526,-0.18621688820330926,1,1,1
881ec9152dfffff,23,0.8695652173913043,3308.0434782608695,-0.31357878726931876,-0.24462083479581173,-0.17765303653988945,1,1,1
881ec91533fffff,5,1.0,3702.8,-0.14622562335443637,-0.11336407458408232,-0.15794644897260182,0,0,1
881ec91537fffff,21,0.6190476190476191,7578.428571428572,-0.08001317217736562,-0.06873972063083886,-0.1406074907627598,0,0,1
881ec91543fffff,5,0.4,2653.6,-0.3647978098582256,-0.25867044606887657,-0.22278779457313203,1,1,1
881ec91545fffff,23,0.13043478260869565,3962.913043478261,-0.3809167998649085,-0.273421009564241,-0.24514329967272377,1,1,1
881ec91549fffff,6,0.3333333333333333,7892.0,-0.2860963926650731,-0.27407319381842576,-0.23325118524800337,1,1,1
881ec9154dfffff,59,0.3389830508474576,3659.135593220339,-0.3299097014871867,-0.2671991165335947,-0.24116518856607672,1,1,1
881ec91561fffff,6,0.8333333333333334,2859.0,-0.29330919842544156,-0.29407672599202955,-0.24757639408998405,1,1,1
881ec91563fffff,30,0.26666666666666666,3437.8333333333335,-0.30111626454361345,-0.26058004217662345,-0.21687389341655483,1,1,1
